source_path,dest_path,category,action,size_bytes,sha256_12
/Users/russelllicht/bec-dark-matter/Remaining_TNG/FINAL_STATUS.md,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/FINAL_STATUS.md,session_recovery,skipped_identical,1697,facd24d0e39b
/Users/russelllicht/bec-dark-matter/Remaining_TNG/TNG_BIG_BASE_READY/big_dataset_validation.json,/Users/russelllicht/bec-dark-matter/datasets/TNG_RAR_48133x50_SOFT1p5_RUN20260223_061026_BIG_BASE/big_dataset_validation.json,big_base_dataset,copied,652,e3d87e50bade
/Users/russelllicht/bec-dark-matter/Remaining_TNG/TNG_BIG_BASE_READY/big_dataset_validation.md,/Users/russelllicht/bec-dark-matter/datasets/TNG_RAR_48133x50_SOFT1p5_RUN20260223_061026_BIG_BASE/big_dataset_validation.md,big_base_dataset,copied,704,c10e83887135
/Users/russelllicht/bec-dark-matter/Remaining_TNG/TNG_BIG_BASE_READY/meta/dataset_manifest.json,/Users/russelllicht/bec-dark-matter/datasets/TNG_RAR_48133x50_SOFT1p5_RUN20260223_061026_BIG_BASE/meta/dataset_manifest.json,big_base_dataset,copied,1159,8de952010787
/Users/russelllicht/bec-dark-matter/Remaining_TNG/TNG_BIG_BASE_READY/meta/master_catalog.csv,/Users/russelllicht/bec-dark-matter/datasets/TNG_RAR_48133x50_SOFT1p5_RUN20260223_061026_BIG_BASE/meta/master_catalog.csv,big_base_dataset,copied,4288174,0a694beea683
/Users/russelllicht/bec-dark-matter/Remaining_TNG/TNG_BIG_BASE_READY/rar_points.parquet,/Users/russelllicht/bec-dark-matter/datasets/TNG_RAR_48133x50_SOFT1p5_RUN20260223_061026_BIG_BASE/rar_points.parquet,big_base_dataset,copied,78528877,25d216992082
/Users/russelllicht/bec-dark-matter/Remaining_TNG/cleanup_executed.csv,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/cleanup_executed.csv,session_recovery,skipped_identical,2470,ba01d1a680dd
/Users/russelllicht/bec-dark-matter/Remaining_TNG/cleanup_plan.csv,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/cleanup_plan.csv,session_recovery,skipped_identical,2494,f548d67b800c
/Users/russelllicht/bec-dark-matter/Remaining_TNG/compute_big_base_qc.py,/Users/russelllicht/bec-dark-matter/analysis/pipeline/compute_big_base_qc.py,pipeline,skipped_identical,3375,c9cb2fbfb476
/Users/russelllicht/bec-dark-matter/Remaining_TNG/missing_vs_present.md,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/missing_vs_present.md,session_recovery,skipped_identical,2373,df53155bfa80
/Users/russelllicht/bec-dark-matter/Remaining_TNG/organize_remaining_tng.py,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/unclassified/organize_remaining_tng.py,unclassified,skipped_identical,7472,f48c332c9b32
/Users/russelllicht/bec-dark-matter/Remaining_TNG/quality_cut_reconstruction.csv,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/quality_cut_reconstruction.csv,session_recovery,skipped_identical,1456,80606c7a6b4d
/Users/russelllicht/bec-dark-matter/Remaining_TNG/registry_runs.csv,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/registry_runs.csv,session_recovery,skipped_identical,1806,d767ca9ba2f2
/Users/russelllicht/bec-dark-matter/Remaining_TNG/registry_summary.json,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/registry_summary.json,session_recovery,skipped_identical,2095,3aa6d495c653
/Users/russelllicht/bec-dark-matter/Remaining_TNG/repro_commands.sh,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/repro_commands.sh,session_recovery,skipped_identical,1527,4388bcc0b2b9
/Users/russelllicht/bec-dark-matter/Remaining_TNG/selected_ids_catalog.csv,/Users/russelllicht/bec-dark-matter/analysis/results/session_recovery/selected_ids_catalog.csv,session_recovery,skipped_identical,2168947,9f701e867e6f
